dataset,apk,file_path,sha256,status,runtime_seconds,hardcoded_secrets_detected,network_issues_detected,cryptographic_issues_detected,report_path,error
DroidBench,Merge1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Aliasing\Merge1.apk,5cf36c0f820d18431dcb09d1d2fbaafdd5e0a18f31738789b6d3a2e613e57bd5,completed,7.187,0,2,22,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\5cf36c0f820d18431dcb09d1d2fbaafdd5e0a18f31738789b6d3a2e613e57bd5\reports\report_Merge1.json,
DroidBench,ApplicationModeling1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\ApplicationModeling1.apk,70d5f6502516c030d5e5beef38d5c5c35269e147a4b1ac737ca48c0927aae5f8,completed,3.274,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\70d5f6502516c030d5e5beef38d5c5c35269e147a4b1ac737ca48c0927aae5f8\reports\report_ApplicationModeling1.json,
DroidBench,DirectLeak1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\DirectLeak1.apk,287121c0d6ed2a1ada9aa9feebdcece992aa9fc75fd423b72e6c89530aba5a30,completed,4.766,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\287121c0d6ed2a1ada9aa9feebdcece992aa9fc75fd423b72e6c89530aba5a30\reports\report_DirectLeak1.json,
DroidBench,InactiveActivity.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\InactiveActivity.apk,89e0feefaa2af0c0c9941c6d746ced2096ffd3aa22f3483e6f3bd38f6e8bc714,completed,4.774,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\89e0feefaa2af0c0c9941c6d746ced2096ffd3aa22f3483e6f3bd38f6e8bc714\reports\report_InactiveActivity.json,
DroidBench,Library2.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\Library2.apk,90ad99dc746174f85f70ebd21328e991c815eacf4d6e9f4271ceec85387ee324,completed,4.781,0,2,5,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\90ad99dc746174f85f70ebd21328e991c815eacf4d6e9f4271ceec85387ee324\reports\report_Library2.json,
DroidBench,LogNoLeak.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\LogNoLeak.apk,2a5050e4b18d8a41e69f2d7798a172ea24deb57718620f0401ec247b6537bacb,completed,4.883,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\2a5050e4b18d8a41e69f2d7798a172ea24deb57718620f0401ec247b6537bacb\reports\report_LogNoLeak.json,
DroidBench,Obfuscation1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\Obfuscation1.apk,8a2c49181f87374ab9ce1d8b0df68f9388528f507fa84ea84abf5bf43f8bc6aa,completed,4.990,0,2,5,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\8a2c49181f87374ab9ce1d8b0df68f9388528f507fa84ea84abf5bf43f8bc6aa\reports\report_Obfuscation1.json,
DroidBench,Parcel1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\Parcel1.apk,9cc76be77aa0ba2e072db8208ee7d061558cc2727be396a0da812a7bdfbefd65,completed,3.561,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\9cc76be77aa0ba2e072db8208ee7d061558cc2727be396a0da812a7bdfbefd65\reports\report_Parcel1.json,
DroidBench,PrivateDataLeak1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\PrivateDataLeak1.apk,3c595ae6d6ec1e78187db308324e6894dbdbb84221aa9c2c0ceebb094b0e32aa,completed,4.646,0,2,5,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\3c595ae6d6ec1e78187db308324e6894dbdbb84221aa9c2c0ceebb094b0e32aa\reports\report_PrivateDataLeak1.json,
DroidBench,PrivateDataLeak2.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\PrivateDataLeak2.apk,29d345df0bdb04cb038b4f0585dbc59b0a6586c57ee01d7cee9536502525f07e,completed,5.347,0,2,5,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\29d345df0bdb04cb038b4f0585dbc59b0a6586c57ee01d7cee9536502525f07e\reports\report_PrivateDataLeak2.json,
DroidBench,PrivateDataLeak3.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\PrivateDataLeak3.apk,da460f21321c85ccc8ee4f33596dfc78a1f5cc1ea80c4e385431c97396f0a673,completed,4.939,0,2,5,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\da460f21321c85ccc8ee4f33596dfc78a1f5cc1ea80c4e385431c97396f0a673\reports\report_PrivateDataLeak3.json,
DroidBench,PublicAPIField1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\PublicAPIField1.apk,073579dacc20cb067a308e827bf48ccf9f08e9100130df239b74f7cd3f50cb83,completed,3.511,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\073579dacc20cb067a308e827bf48ccf9f08e9100130df239b74f7cd3f50cb83\reports\report_PublicAPIField1.json,
DroidBench,PublicAPIField2.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\AndroidSpecific\PublicAPIField2.apk,27c24074ee54d184bfa0033d0824fa222e4e07b5d94c70a85f3c9ce971d35cc7,completed,3.584,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\27c24074ee54d184bfa0033d0824fa222e4e07b5d94c70a85f3c9ce971d35cc7\reports\report_PublicAPIField2.json,
DroidBench,ArrayAccess1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\ArraysAndLists\ArrayAccess1.apk,000f6f4b8feb45b1ffe8f1654acce02c011b414ec500feb01bd86a79562a9d58,completed,4.799,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\000f6f4b8feb45b1ffe8f1654acce02c011b414ec500feb01bd86a79562a9d58\reports\report_ArrayAccess1.json,
DroidBench,ArrayAccess2.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\ArraysAndLists\ArrayAccess2.apk,3acad38a41874eb636b49cdf87d2e97af66cacc0c3b32f4f7eed9f0f5a58cc5f,completed,4.678,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\3acad38a41874eb636b49cdf87d2e97af66cacc0c3b32f4f7eed9f0f5a58cc5f\reports\report_ArrayAccess2.json,
DroidBench,ArrayCopy1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\ArraysAndLists\ArrayCopy1.apk,b28269603a921afed68b4f14b3d49c55e1a41044c967f6cba1fb1d077f308bf0,completed,3.477,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\b28269603a921afed68b4f14b3d49c55e1a41044c967f6cba1fb1d077f308bf0\reports\report_ArrayCopy1.json,
DroidBench,ArrayToString1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\ArraysAndLists\ArrayToString1.apk,6ac0b13e75de6236c23ce4f07d9f33dc10b5bbb127b5efaef863b57779b9fca4,completed,3.441,0,1,3,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\6ac0b13e75de6236c23ce4f07d9f33dc10b5bbb127b5efaef863b57779b9fca4\reports\report_ArrayToString1.json,
DroidBench,HashMapAccess1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\ArraysAndLists\HashMapAccess1.apk,3475c28bb8909f3035f6e12c0d4d42a60caa6cf0f95df116e537ed80e6ded64e,completed,4.989,0,2,5,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\3475c28bb8909f3035f6e12c0d4d42a60caa6cf0f95df116e537ed80e6ded64e\reports\report_HashMapAccess1.json,
DroidBench,ListAccess1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\ArraysAndLists\ListAccess1.apk,bc31af4cea497a895235ce731dd2c1a7f4e9791a840e490f087b370a87e2c80f,completed,4.797,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\bc31af4cea497a895235ce731dd2c1a7f4e9791a840e490f087b370a87e2c80f\reports\report_ListAccess1.json,
DroidBench,MultidimensionalArray1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\ArraysAndLists\MultidimensionalArray1.apk,b8478e1c0221b954c28c5bc9ea314ed81c083c65ecc09f06ae9aedb3f7dff92c,completed,3.387,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\b8478e1c0221b954c28c5bc9ea314ed81c083c65ecc09f06ae9aedb3f7dff92c\reports\report_MultidimensionalArray1.json,
DroidBench,AnonymousClass1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\AnonymousClass1.apk,15d0d0f8464c105f699e89a85d8be7f6eb36b8d77cd76434320b14115d94a47c,completed,4.713,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\15d0d0f8464c105f699e89a85d8be7f6eb36b8d77cd76434320b14115d94a47c\reports\report_AnonymousClass1.json,
DroidBench,Button1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\Button1.apk,3165af7136e072fc9913d86bb6b028cd4c19f4124d192efc7f53f024470e30ce,completed,4.688,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\3165af7136e072fc9913d86bb6b028cd4c19f4124d192efc7f53f024470e30ce\reports\report_Button1.json,
DroidBench,Button2.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\Button2.apk,38561ca725f4206fbf133446294c7368b286df9710cc9b8f36e29c45fbbc07f2,completed,4.751,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\38561ca725f4206fbf133446294c7368b286df9710cc9b8f36e29c45fbbc07f2\reports\report_Button2.json,
DroidBench,Button3.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\Button3.apk,6cf4a720856dffb027a905509f6896be910bb9030a28c31b0ee42084e9f6ba9a,completed,5.083,0,2,5,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\6cf4a720856dffb027a905509f6896be910bb9030a28c31b0ee42084e9f6ba9a\reports\report_Button3.json,
DroidBench,Button4.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\Button4.apk,55618cbe77d5ebf9176f2736f17c0d729378a759165a30b114486873483e8ee2,completed,4.721,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\55618cbe77d5ebf9176f2736f17c0d729378a759165a30b114486873483e8ee2\reports\report_Button4.json,
DroidBench,Button5.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\Button5.apk,0c5b890f74a2c7c7c8c8eee966cd56355d808d37f6b40850c57624fac350e0e3,completed,4.713,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\0c5b890f74a2c7c7c8c8eee966cd56355d808d37f6b40850c57624fac350e0e3\reports\report_Button5.json,
DroidBench,LocationLeak1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\LocationLeak1.apk,c54e996bce68a9a1e0105cffe20be2d7650fe9ff71f2abefe60ff79a3d987b49,completed,4.742,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\c54e996bce68a9a1e0105cffe20be2d7650fe9ff71f2abefe60ff79a3d987b49\reports\report_LocationLeak1.json,
DroidBench,LocationLeak2.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\LocationLeak2.apk,1541b300e05b3883a695d0c3a1b4db7ec1854c8c0714a748cd30624214f442d7,completed,4.744,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\1541b300e05b3883a695d0c3a1b4db7ec1854c8c0714a748cd30624214f442d7\reports\report_LocationLeak2.json,
DroidBench,LocationLeak3.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\LocationLeak3.apk,531fdd1fe8e1e97c2a308596615c7abd2c9c2a4816538218afcedafef2ea26b4,completed,4.879,0,2,5,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\531fdd1fe8e1e97c2a308596615c7abd2c9c2a4816538218afcedafef2ea26b4\reports\report_LocationLeak3.json,
DroidBench,MethodOverride1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\MethodOverride1.apk,067affa25b5ec081d091a96a0fb642cc013973099c079f14a1a5caa625b3500a,completed,4.791,0,2,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\067affa25b5ec081d091a96a0fb642cc013973099c079f14a1a5caa625b3500a\reports\report_MethodOverride1.json,
DroidBench,MultiHandlers1.apk,C:\Users\HP\Desktop\phd\DroidBench apks\apk\Callbacks\MultiHandlers1.apk,e151df7546c0bbc6f6b6c0076d9c0e00b7ea26970d7332eb8f2131ad44ee8a25,completed,4.807,0,1,4,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\e151df7546c0bbc6f6b6c0076d9c0e00b7ea26970d7332eb8f2131ad44ee8a25\reports\report_MultiHandlers1.json,
