dataset,apk,scan_id,runtime_seconds,cpu_percent,ram_mb,report_success,sarif_success
DroidBench,Merge1.apk,97431b95-d81a-4580-a40b-7e9b2feab2e3,10.132,71.55,183.46,false,false
DroidBench,ApplicationModeling1.apk,cf74bb84-4c3a-45d5-b1ef-c78c7bb305e6,10.199,70.37,189.58,false,false
DroidBench,DirectLeak1.apk,a423791d-a3e7-4352-a05c-8593ce49a3d9,10.162,44.55,153.66,false,false
DroidBench,InactiveActivity.apk,81105a8d-6e3b-419a-9d1f-d36880e8ef7c,10.154,49.85,154.49,false,false
DroidBench,Library2.apk,cfa6f15c-d6af-40bb-ae8b-2cb5d4c2849d,10.147,57.64,156.39,false,false
DroidBench,LogNoLeak.apk,9df68db0-f052-4ead-838b-660b670fc4a2,10.177,81.55,194.49,false,false
DroidBench,Obfuscation1.apk,87d860d0-1063-4f09-b3ad-9f07c1bb33f6,10.217,90.16,195.80,false,false
DroidBench,Parcel1.apk,b71fdd2b-ceae-4ec2-9829-ae11a5f13449,10.184,8.14,158.29,false,false
DroidBench,PrivateDataLeak1.apk,4358433a-1bc3-42f9-b471-d29b5d932047,10.169,55.12,159.08,false,false
DroidBench,PrivateDataLeak2.apk,d8dc2ee1-c301-4501-a90c-56c16c469575,10.214,82.06,198.20,false,false
DroidBench,PrivateDataLeak3.apk,24c185f9-29ad-4aef-adb7-83cc5896cfde,10.247,92.10,198.90,false,false
DroidBench,PublicAPIField1.apk,4d208eb2-723f-4963-90c5-38f204b7fa2d,10.176,8.65,160.70,false,false
DroidBench,PublicAPIField2.apk,ce70279b-7da3-4618-914d-724c0edfbb59,10.147,23.53,160.68,false,false
DroidBench,ArrayAccess1.apk,953d49d0-f751-4a70-bf84-1bdc3149b48c,10.212,84.57,197.59,false,false
DroidBench,ArrayAccess2.apk,41e36c63-2866-4dcc-bb0b-a17c03b1cd03,10.247,97.27,200.44,false,false
DroidBench,ArrayCopy1.apk,a97373ca-4c78-4f8f-8002-8d451a72b36f,10.125,1.34,161.99,false,false
DroidBench,ArrayToString1.apk,381feb5d-7c4e-4931-b76d-84debfea15d7,10.162,4.18,162.15,false,false
DroidBench,HashMapAccess1.apk,6fe34fab-274d-4972-af52-39532ca1cb67,11.214,70.17,163.31,false,false
DroidBench,ListAccess1.apk,0e16268a-0ec1-4053-afa7-f0472ae6b5f2,11.113,9.58,164.46,false,false
DroidBench,MultidimensionalArray1.apk,95b753df-2aea-485c-b36a-2cf63ee1cd7b,10.163,52.36,164.76,false,false
DroidBench,AnonymousClass1.apk,0c05ec7d-2dfe-446a-86b1-118d1d53a08d,10.157,13.14,166.00,false,false
DroidBench,Button1.apk,40caf772-8a15-4f38-8db0-1d3826f0d188,10.130,119.24,204.09,false,false
DroidBench,Button2.apk,586a3bcd-0dee-4db0-b1cd-3bba5d0b27d2,10.199,91.64,208.49,false,false
DroidBench,Button3.apk,1641dd37-c1bf-486b-b900-b5bc05b21375,10.189,115.44,213.75,false,false
DroidBench,Button4.apk,4aef51b0-7333-4873-a4fe-e71b44bb6bac,10.172,34.16,169.72,false,false
DroidBench,Button5.apk,f315a860-111f-4ee5-9212-4fb17dce08a4,10.157,116.32,170.79,false,false
DroidBench,LocationLeak1.apk,f29cd880-e80a-4486-b5d9-f84cb6d1fdbb,10.170,115.58,211.88,false,false
DroidBench,LocationLeak2.apk,22135168-66b7-42b5-9981-6bed0f2cb2e0,10.168,103.00,213.98,false,false
DroidBench,LocationLeak3.apk,f33337bc-8623-4bd2-b479-b491bd9ef4dc,10.165,32.06,173.26,false,false
DroidBench,MethodOverride1.apk,4c1dd824-737d-4bd8-b7f1-58e9ece964cb,10.183,18.50,174.11,false,false
DroidBench,MultiHandlers1.apk,444396ae-1d43-487e-90b8-bfa3488e8a23,10.136,57.95,174.83,false,false
DroidBench,Ordering1.apk,62735d02-00ba-454f-8532-d25011a1454f,10.171,115.14,216.27,false,false
DroidBench,RegisterGlobal1.apk,0d8370d7-93b3-4b3a-958a-c004a623cf97,10.177,118.14,176.94,false,false
DroidBench,RegisterGlobal2.apk,9dbe45d7-3640-4245-80f8-0afe82f6e2d3,10.145,36.64,177.38,false,false
DroidBench,Unregister1.apk,ec324d29-10ee-468b-9e3b-071f1c464d25,10.136,28.67,178.31,false,false
DroidBench,ContentProvider1.apk,9a8c2897-b7f2-4aee-a1cc-6fcf2b2dff69,10.159,76.43,216.96,false,false
DroidBench,IMEI1.apk,c8ea29a9-a44f-4571-ae94-1a937c95b566,10.202,73.03,219.30,false,false
DroidBench,PlayStore1.apk,efed59e2-aa7f-4146-99e2-fc9ce0ecc6b6,10.187,69.52,218.04,false,false
DroidBench,FieldSensitivity1.apk,95c5d271-cc6b-4c7c-a180-b7dffc139c0a,10.139,43.19,188.14,false,false
DroidBench,FieldSensitivity2.apk,c0e3d6ef-82b0-4931-8404-56048306ac23,10.186,108.14,226.76,false,false
DroidBench,FieldSensitivity3.apk,ce5c7251-d822-41be-9f9a-57dff64c8ca6,10.192,118.35,227.35,false,false
DroidBench,FieldSensitivity4.apk,1601bed2-e3dc-43b5-ae4c-a41ca90c23dd,10.243,115.73,191.39,false,false
DroidBench,InheritedObjects1.apk,9770fb23-5c4d-4d06-9bd5-3f245d87898a,10.201,116.96,235.43,false,false
DroidBench,ObjectSensitivity1.apk,20cafb75-720f-4cc4-919e-af03a93225fd,10.209,83.63,232.24,false,false
DroidBench,ObjectSensitivity2.apk,06fae75a-7390-43e8-a893-d338c14439c5,10.225,45.40,193.34,false,false
DroidBench,Clone1.apk,4604a9fc-6f90-402d-86aa-d396b1d884a6,10.146,8.01,193.69,false,false
DroidBench,Exceptions1.apk,865d09e5-68f2-4253-9708-bc9d2ba83e2b,10.144,89.76,194.48,false,false
DroidBench,Exceptions2.apk,dbf47c62-f184-49c8-85b6-adb7087a54d9,10.210,69.85,233.12,false,false
DroidBench,Exceptions3.apk,2846c12a-bc9e-40c7-932d-f04ba18cac6d,11.276,89.07,196.19,false,false
DroidBench,Exceptions4.apk,906581a6-d010-41fe-be9e-8045589d223a,11.246,43.97,196.87,false,false
DroidBench,FactoryMethods1.apk,ce6cddfa-f3c6-4fab-aa66-738571c1eb19,10.179,51.99,197.89,false,false
DroidBench,Loop1.apk,6d2a51d3-4217-4037-b33f-199dee88ba5a,10.154,73.08,198.81,false,false
DroidBench,Loop2.apk,bc81d209-483a-4d4d-a2a0-97da994d7087,10.204,81.65,238.08,false,false
DroidBench,Serialization1.apk,c696103b-02bc-4e9a-9337-ac16d557f574,10.213,71.32,237.35,false,false
DroidBench,SourceCodeSpecific1.apk,5cf3c208-b2b2-47ae-bf66-99f793174fee,10.203,44.62,200.33,false,false
DroidBench,StartProcessWithSecret1.apk,8dccbd47-6d8b-4dd6-8305-25cd79934f34,10.173,10.17,200.69,false,false
