dataset,apk,scan_id,expected,detected,detected_findings,status,note
DroidBench,Merge1.apk,98f909c5-42e7-4cfc-a2f5-335cdafe1f60,true,true,4,completed,
DroidBench,ApplicationModeling1.apk,499ca4c9-3903-4900-87f7-78775fe686cc,true,true,4,completed,
DroidBench,DirectLeak1.apk,f6d679c7-2034-4a3b-9728-1938fa4f8b60,true,true,4,completed,
DroidBench,InactiveActivity.apk,621b864c-7ee6-4994-b516-c936444e5b83,true,true,4,completed,
DroidBench,Library2.apk,22a7a8ef-737c-4fd9-aa07-326e28eb0bcf,true,true,4,completed,
DroidBench,LogNoLeak.apk,ec4f65c3-93ad-4a7d-a42d-e031b3df7e56,true,true,4,completed,
DroidBench,Obfuscation1.apk,7419dbf9-de60-4f70-b676-31ddac4beb9e,true,true,4,completed,
DroidBench,Parcel1.apk,d8660927-00a4-414e-a7f9-1d957dc81a54,true,true,4,completed,
DroidBench,PrivateDataLeak1.apk,1aec8ec9-5a55-44d5-8b08-eebe2f47d75a,true,true,4,completed,
DroidBench,PrivateDataLeak2.apk,5d899acc-87d4-4996-a603-56c332669499,true,true,4,completed,
DroidBench,PrivateDataLeak3.apk,6cc84037-1ebb-4501-a979-64a7e7c24a2f,true,true,4,completed,
DroidBench,PublicAPIField1.apk,a4d3cf4a-220e-493c-9c3c-d31fac70836a,true,true,4,completed,
DroidBench,PublicAPIField2.apk,ffe9bf38-42d1-4443-921d-868704aa8bef,true,true,4,completed,
DroidBench,ArrayAccess1.apk,b720ded7-1f7b-4f3a-b483-40d5821dff3d,true,true,4,completed,
DroidBench,ArrayAccess2.apk,35c284de-032e-4ec9-b97d-3c039c87209b,true,true,4,completed,
DroidBench,ArrayCopy1.apk,22b573ff-8143-4652-87d2-eb641c7c0769,true,true,4,completed,
DroidBench,ArrayToString1.apk,3921b27b-defa-40c0-91e8-b5c500841f8b,true,true,3,completed,
DroidBench,HashMapAccess1.apk,36a22d13-fc66-4f77-ad99-abfd4439d9e0,true,true,4,completed,
DroidBench,ListAccess1.apk,c96264c8-2338-4b9f-8a86-b920607663e5,true,true,4,completed,
DroidBench,MultidimensionalArray1.apk,8238383c-e554-448a-b3be-daeb45bdb0da,true,true,4,completed,
DroidBench,AnonymousClass1.apk,14f0b725-da34-431d-9c9e-d5587f7f22a9,true,true,4,completed,
DroidBench,Button1.apk,801dcbe4-fbda-497d-a1f0-c795530843ee,true,true,4,completed,
DroidBench,Button2.apk,e70686bb-5b3c-470a-913d-4554313e1699,true,true,4,completed,
DroidBench,Button3.apk,473165e9-1684-440c-ba7e-220f30450999,true,true,4,completed,
DroidBench,Button4.apk,32270cc6-9fda-4a8f-a7b7-7819688c162d,true,true,4,completed,
DroidBench,Button5.apk,417493a8-7929-4306-ad09-aa6d0e699c7a,true,true,4,completed,
DroidBench,LocationLeak1.apk,d14655a2-26f3-4e98-ba05-0b673b1f141f,true,true,4,completed,
DroidBench,LocationLeak2.apk,39a37410-1586-49e7-be21-2028c2082949,true,true,4,completed,
DroidBench,LocationLeak3.apk,01140024-fb54-4214-9e8d-18c04bc6b746,true,true,4,completed,
DroidBench,MethodOverride1.apk,6a316922-99ec-4b7a-9164-4934ac9a5471,true,true,4,completed,
DroidBench,MultiHandlers1.apk,ce4c5f5d-3b87-48a4-b840-db5524f2c5bb,true,true,3,completed,
DroidBench,Ordering1.apk,7c9c8df6-bce2-42fb-bb2a-f828213445ed,true,true,4,completed,
DroidBench,RegisterGlobal1.apk,d570c8da-0289-4d2a-a7eb-6734223db843,true,true,4,completed,
DroidBench,RegisterGlobal2.apk,effabf56-59ac-4d26-bac4-78f93d181256,true,true,4,completed,
DroidBench,Unregister1.apk,712aeda9-aa97-4914-ba4c-265ea82ed0f0,true,true,4,completed,
DroidBench,ContentProvider1.apk,d36ad6ef-7322-403c-84b5-a88c1aa50b26,true,true,4,completed,
DroidBench,IMEI1.apk,fa234194-a865-4645-8487-546577ce4c37,true,true,4,completed,
DroidBench,PlayStore1.apk,b2ee683e-2aaa-49e0-b86b-f726321fcae0,true,true,4,completed,
DroidBench,FieldSensitivity1.apk,887b2396-814b-479d-8ea8-9fc927e9aa9f,true,true,4,completed,
DroidBench,FieldSensitivity2.apk,1f19b5a7-79ae-414c-98fd-41439e9eed33,true,true,4,completed,
DroidBench,FieldSensitivity3.apk,90985ce6-8e43-4819-8818-75a3dafb59b3,true,true,4,completed,
DroidBench,FieldSensitivity4.apk,0f4bcf93-cc12-48b2-8bb2-7353a5d151ee,true,true,4,completed,
DroidBench,InheritedObjects1.apk,b246e4c4-8ac8-4be7-bec4-cfd596ba7015,true,true,4,completed,
DroidBench,ObjectSensitivity1.apk,56102cad-9aeb-4ff3-82e8-9c8ba14bbd13,true,true,4,completed,
DroidBench,ObjectSensitivity2.apk,e0ec0a31-94ed-44e0-8b21-b20f7aefec00,true,true,4,completed,
DroidBench,Clone1.apk,ae29c825-e7e2-4646-a774-e8730796e508,true,true,4,completed,
DroidBench,Exceptions1.apk,adc32ab1-52d0-44dd-aded-ebf5c0150715,true,true,4,completed,
DroidBench,Exceptions2.apk,7f450015-34a8-4262-a9d7-b8fcf224a34e,true,true,4,completed,
DroidBench,Exceptions3.apk,bf09b271-1b52-42e2-9626-545c523e3977,true,true,4,completed,
DroidBench,Exceptions4.apk,b337ee1a-5c67-47ac-9acb-db418df2f2e5,true,true,4,completed,
DroidBench,FactoryMethods1.apk,7bd16c54-15dc-4f16-80b5-810cf340e1f4,true,true,4,completed,
DroidBench,Loop1.apk,e4efceb1-f692-4962-ad8d-cf2365cd5800,true,true,4,completed,
DroidBench,Loop2.apk,f9fa52ab-9afa-437e-9c8f-3d450106a91e,true,true,4,completed,
DroidBench,Serialization1.apk,ebd60836-10ac-476e-9b58-38edfb49ab07,true,true,4,completed,
DroidBench,SourceCodeSpecific1.apk,4c5d0c2b-e9e1-4d6a-9806-4cd0759a4977,true,true,4,completed,
DroidBench,StartProcessWithSecret1.apk,c763ff70-6441-460d-931e-5e56fa7fa328,true,true,4,completed,
DroidBench,StaticInitialization1.apk,06361b96-b88e-496f-9cc3-9daa538e5d76,true,true,4,completed,
DroidBench,StaticInitialization2.apk,ab1121e0-7738-485a-abaa-ab666bc27d78,true,true,4,completed,
DroidBench,StaticInitialization3.apk,0fd35555-b995-48db-bbc7-582939fe0060,true,true,4,completed,
DroidBench,StringFormatter1.apk,ea1fb29f-fe70-4788-ba51-6107619adfd6,true,true,4,completed,
DroidBench,StringPatternMatching1.apk,2ccb44fe-c2f8-4a1f-bfa3-78a8a2d5de12,true,true,4,completed,
DroidBench,StringToCharArray1.apk,03971f2c-ca5f-4950-9f90-52ba4a38a872,true,true,4,completed,
DroidBench,StringToOutputStream1.apk,a1576e55-1df5-4432-b74a-fa0b9f765b0a,true,true,4,completed,
DroidBench,UnreachableCode.apk,99746ba9-81ee-4cb3-a819-139e62229d36,true,true,4,completed,
DroidBench,VirtualDispatch1.apk,5c2ce863-7f74-4328-b63a-f1518efd1949,true,true,4,completed,
DroidBench,VirtualDispatch2.apk,cbab23f0-b84a-4395-ac28-01f0d719e52e,true,true,4,completed,
DroidBench,VirtualDispatch3.apk,6c18aa27-284e-4724-91c4-4fbfc3b46f4c,true,true,4,completed,
DroidBench,VirtualDispatch4.apk,a2b84255-ade7-4df6-8c66-17fdf3bcd301,true,true,4,completed,
DroidBench,ImplicitFlow1.apk,7d1f0cc1-1d1a-49ed-bebe-8125d700dcb2,true,true,4,completed,
DroidBench,ImplicitFlow2.apk,4b3d020b-6ef9-4d9a-a2ae-73422fd00999,true,true,4,completed,
DroidBench,ImplicitFlow3.apk,7851f9b9-2641-4d4d-835d-cf72df794401,true,true,4,completed,
DroidBench,ImplicitFlow4.apk,4c46b04e-0ee8-4a3b-927a-b8550ace4255,true,true,4,completed,
DroidBench,Echoer.apk,5e9c81d7-7b80-44d7-a92d-14bac1f44aa7,true,true,3,completed,
DroidBench,SendSMS.apk,de97c926-25b4-4d71-8746-f9a36aba1fb9,true,true,3,completed,
DroidBench,StartActivityForResult1.apk,e5d0080c-9f44-4e8e-8362-0517885e3234,true,true,3,completed,
DroidBench,ActivityCommunication1.apk,ba9b8867-707b-4159-a0b4-a160058ab8d6,true,true,5,completed,
DroidBench,ActivityCommunication2.apk,3cf628ab-48b9-4e11-b215-3887ae662eb2,true,true,6,completed,
DroidBench,ActivityCommunication3.apk,ff9b3730-1b9b-49f6-b608-0b9cbe499dc6,true,true,6,completed,
DroidBench,ActivityCommunication4.apk,0a512674-8703-4371-9d53-ffc6b5258684,true,true,6,completed,
DroidBench,ActivityCommunication5.apk,d63f59bb-9355-450a-b9ed-50de5d6bcf38,true,true,4,completed,
DroidBench,ActivityCommunication6.apk,aa64ece9-6433-409a-998b-bd39f47ffac8,true,true,6,completed,
DroidBench,ActivityCommunication7.apk,58a3aae4-9706-4d8f-adc5-ce501e947598,true,true,4,completed,
DroidBench,ActivityCommunication8.apk,71c97d3c-5d27-4e0b-9e98-b0d2d29c845a,true,true,6,completed,
DroidBench,BroadcastTaintAndLeak1.apk,e267826a-f6be-4f60-b066-07035cc1078b,true,true,4,completed,
DroidBench,ComponentNotInManifest1.apk,c3cf37ce-b5c5-4ea0-a849-88bca6aeac1b,true,true,4,completed,
DroidBench,EventOrdering1.apk,2e991c46-c743-4df7-a092-173f0a20ba8c,true,true,6,completed,
DroidBench,IntentSink1.apk,90269141-5d4a-43b9-be59-ab6cd5331153,true,true,3,completed,
DroidBench,IntentSink2.apk,94219443-7eb0-4285-a78f-7504fae4defa,true,true,4,completed,
DroidBench,IntentSource1.apk,df976b28-6a80-4f87-afc3-faa440076164,true,true,4,completed,
DroidBench,ServiceCommunication1.apk,76fe8939-68ec-4ac4-a4c1-1560c21bc1b8,true,true,4,completed,
DroidBench,SharedPreferences1.apk,298a7da8-f8d9-4e3f-ab62-ba861bd75738,true,true,5,completed,
DroidBench,Singletons1.apk,5c4de4ab-969e-4291-8045-bdf0a8cf7dae,true,true,5,completed,
DroidBench,UnresolvableIntent1.apk,77523fe0-d525-4a5d-8365-fde3c612f771,true,true,6,completed,
DroidBench,ActivityLifecycle1.apk,bf14ba9b-0c18-490c-a198-92277d0cd39c,true,true,4,completed,
DroidBench,ActivityLifecycle2.apk,60ee43bd-82b1-4fb1-930a-03615e481b03,true,true,4,completed,
DroidBench,ActivityLifecycle3.apk,907f794c-8a5b-4dc2-8be2-15b98ff8a67e,true,true,4,completed,
DroidBench,ActivityLifecycle4.apk,715c2204-c101-4f6b-96c8-4a9ee44a6092,true,true,4,completed,
DroidBench,ActivitySavedState1.apk,b1a764a0-3d34-43ba-9b0d-4e5a29df1cb1,true,true,4,completed,
DroidBench,ApplicationLifecycle1.apk,e57bfa75-ec7b-4a63-bc83-82202421b339,true,true,4,completed,
DroidBench,ApplicationLifecycle2.apk,33517c26-4f72-4e10-96e3-e0a629127ce1,true,true,5,completed,
DroidBench,ApplicationLifecycle3.apk,2973a483-344f-4c33-8d21-5b93a3c7fa65,true,true,5,completed,
DroidBench,AsynchronousEventOrdering1.apk,8939835c-1769-4c1b-8997-987983cc518f,true,true,4,completed,
DroidBench,BroadcastReceiverLifecycle1.apk,5bd8e2ae-0a4e-4b07-9c1b-9d7aa529cad3,true,true,4,completed,
DroidBench,BroadcastReceiverLifecycle2.apk,4ff13304-17ff-46c0-834f-6233d580e6ca,true,true,4,completed,
DroidBench,EventOrdering1.apk,6b8751c1-95b1-43a4-abac-a426bc42b860,true,true,4,completed,
DroidBench,FragmentLifecycle1.apk,47de3ce9-e178-4eef-b9ec-1bf0a1cfc256,true,true,4,completed,
DroidBench,FragmentLifecycle2.apk,8df41b5b-4ce4-4469-953f-0cd8b5c03803,true,true,4,completed,
DroidBench,ServiceLifecycle1.apk,1c82bf84-332e-4fd8-8c11-25f6153f439b,true,true,2,completed,
DroidBench,ServiceLifecycle2.apk,1f1bf024-d775-4fdf-ad17-03c6ebc8aa34,true,true,4,completed,
DroidBench,SharedPreferenceChanged1.apk,e7b95c4d-cd40-4158-8dd7-1df557e35112,true,true,4,completed,
DroidBench,Reflection1.apk,4b4383f5-ee64-4c36-9eeb-7f526e4a8139,true,true,4,completed,
DroidBench,Reflection2.apk,d684d970-d01e-404a-9766-22e3bcf826a6,true,true,4,completed,
DroidBench,Reflection3.apk,3676fe24-fbef-4215-8a8d-ca4286ea10dc,true,true,4,completed,
DroidBench,AsyncTask1.apk,23965c26-a3b8-466d-8f30-28f66a3ce5c3,true,true,4,completed,
DroidBench,Executor1.apk,2d3ddb8e-7c4b-499e-849c-ecc0842cb1aa,true,true,4,completed,
DroidBench,JavaThread1.apk,8f58b6b6-925f-47ca-80ba-31ea281a82ad,true,true,4,completed,
DroidBench,JavaThread2.apk,fff616aa-a8da-4829-869f-9dc2aff1acc0,true,true,4,completed,
DroidBench,Looper1.apk,dc6b3a34-308e-42c7-97f0-ff225bc77f1a,true,true,4,completed,
Ghera,BlockCipher-ECB-InformationExposure-Lean-benign-v2.apk,9d46243b-864a-40da-9612-8ee794fb9ee6,false,true,5,completed,
Ghera,BlockCipher-ECB-InformationExposure-Lean-benign.apk,6370af05-7db5-49e5-966e-aa0c9f43183c,false,true,5,completed,
Ghera,BlockCipher-ECB-InformationExposure-Lean-malicious.apk,b4851c0b-db29-4f88-bf6b-6dae2f0df36b,true,true,4,completed,
Ghera,BlockCipher-ECB-InformationExposure-Lean-secure.apk,a8a9e18d-256d-4604-8a34-1c24bd329ac7,false,true,5,completed,
Ghera,BlockCipher-NonRandomIV-InformationExposure-Lean-benign.apk,d258f53d-677c-4a28-b101-ee95a2a78972,false,true,5,completed,
Ghera,BlockCipher-NonRandomIV-InformationExposure-Lean-malicious.apk,14659307-b892-4f7e-af95-a91bbe7c7991,true,true,4,completed,
Ghera,BlockCipher-NonRandomIV-InformationExposure-Lean-secure.apk,40c41216-f1eb-4ef1-b80a-d6d13c07cc1e,false,true,5,completed,
Ghera,ConstantKey-ForgeryAttack-Lean-benign.apk,a6471581-c324-4b7b-a404-9806e1cb9ce7,false,true,5,completed,
