dataset,apk,scan_id,runtime_seconds,export_time_seconds,cpu_percent,ram_mb,apk_size_bytes,export_bytes_total,concurrency,throughput_apks_per_minute,report_success,pdf_success,json_success,sarif_success
DroidBench,ApplicationModeling1.apk,021a9a2b-68a8-4fa7-920b-5850b41b57be,20.209,32.788,10.91,182.46,36869,77421,4,4.034974260226699,true,true,true,true
DroidBench,DirectLeak1.apk,52420211-9306-4c8f-aa37-7a1a2816f88a,30.287,22.746,0.74,182.36,178577,77421,4,4.034974260226699,true,true,true,true
DroidBench,Merge1.apk,f6387170-18eb-4e9f-810e-1b64abf0c22d,50.407,2.644,187.75,297.98,801366,77420,4,4.034974260226699,true,true,true,true
DroidBench,InactiveActivity.apk,108764bb-7f26-4f4b-b17c-f54bce3911ec,40.334,12.703,0.76,182.55,178495,77421,4,4.034974260226699,true,true,true,true
DroidBench,LogNoLeak.apk,0a1aeefb-473a-4890-8549-2c2714d93530,30.273,22.383,1.15,210.24,178420,77417,4,4.034974260226699,true,true,true,true
DroidBench,Library2.apk,ce16aa25-7053-4225-bfc5-0e5c5f6ac353,50.382,2.29,188.47,350.82,196636,77417,4,4.034974260226699,true,true,true,true
DroidBench,Parcel1.apk,d154b740-0933-4a0b-9443-01600185b0ca,20.186,32.464,0.79,209.19,37641,77148,4,4.034974260226699,true,true,true,true
DroidBench,Obfuscation1.apk,044735b5-9356-4be2-aad0-72b12af77a7c,40.312,12.389,1.74,209.14,196558,77417,4,4.034974260226699,true,true,true,true
DroidBench,PublicAPIField1.apk,c015c087-9e49-4654-b721-7ca6c3887e44,10.059,32.372,0.76,213.97,36880,77414,4,4.034974260226699,true,true,true,true
DroidBench,PrivateDataLeak2.apk,9241f8b7-f262-4a8c-9e15-2a98470aa8ec,20.158,22.338,0.76,214.16,178759,77414,4,4.034974260226699,true,true,true,true
DroidBench,PrivateDataLeak1.apk,ce5e6b13-7964-49fa-b92b-73a2a5317e0a,30.231,12.292,197.00,357.61,180488,77145,4,4.034974260226699,true,true,true,true
DroidBench,PrivateDataLeak3.apk,47cef276-3bef-4e06-ba6a-61b8a6f45092,40.232,2.257,0.76,214.13,196732,77143,4,4.034974260226699,true,true,true,true
DroidBench,PublicAPIField2.apk,a3d4b585-12a3-49f8-92c7-46a70398ef90,20.174,22.291,197.63,358.97,36628,77249,4,4.034974260226699,true,true,true,true
DroidBench,ArrayCopy1.apk,1ae3a8ae-08a6-4b14-b031-64bfac943ec7,10.087,32.356,0.73,215.63,36626,77245,4,4.034974260226699,true,true,true,true
DroidBench,ArrayAccess2.apk,fff90d40-080c-49fc-a329-9b3023f1541a,30.196,12.267,0.73,215.79,178726,77249,4,4.034974260226699,true,true,true,true
DroidBench,ArrayAccess1.apk,85712dd7-0088-4c6d-89a9-f35715e47162,40.254,2.24,0.77,215.77,178711,77248,4,4.034974260226699,true,true,true,true
DroidBench,MultidimensionalArray1.apk,9a36b837-0b84-4bfa-8b86-c1d204a4581c,10.121,32.345,0.74,219.05,36660,77509,4,4.034974260226699,true,true,true,true
DroidBench,ArrayToString1.apk,7fac327e-249b-435a-8500-8b6ca93a1620,20.220,22.299,191.79,371.74,33166,71630,4,4.034974260226699,true,true,true,true
DroidBench,HashMapAccess1.apk,7fbc7cdf-8467-475b-915b-58922f1ce138,40.303,2.216,0.71,219.09,196285,77243,4,4.034974260226699,true,true,true,true
DroidBench,ListAccess1.apk,09adc5c2-2cc0-4a63-a5dd-72eaf1503cde,30.242,12.284,0.75,219.11,178765,77511,4,4.034974260226699,true,true,true,true
DroidBench,AnonymousClass1.apk,2141d7d5-f671-4aa2-bcb0-a2b9be6f114b,11.027,32.368,210.81,362.42,179349,77148,4,4.034974260226699,true,true,true,true
DroidBench,Button1.apk,f61a84b2-8257-4234-a84d-cdebd4344396,21.071,22.342,0.76,225.60,178945,77417,4,4.034974260226699,true,true,true,true
DroidBench,Button3.apk,4589cd4a-47f2-4664-a260-c4cea966a123,41.140,2.233,0.74,225.68,196994,77243,4,4.034974260226699,true,true,true,true
DroidBench,Button2.apk,15e2bde0-870e-4b83-af35-db8a6907c86f,31.106,12.311,0.76,225.62,179675,77244,4,4.034974260226699,true,true,true,true
DroidBench,Button5.apk,40353024-c382-4f37-8dbe-3b1f885a03d4,10.113,32.337,0.73,229.32,179470,77418,4,4.034974260226699,true,true,true,true
DroidBench,Button4.apk,3c0bf582-7dc9-44d3-b83f-09564b07696d,20.182,22.294,196.57,371.03,179695,77418,4,4.034974260226699,true,true,true,true
DroidBench,LocationLeak2.apk,f543561d-97c6-41fc-9d0c-a8d0f0184a5c,40.237,2.216,0.71,229.30,179146,77420,4,4.034974260226699,true,true,true,true
DroidBench,LocationLeak1.apk,2e21f801-020b-4596-893c-d8f7aa42c474,30.198,12.267,1.30,229.42,179381,77418,4,4.034974260226699,true,true,true,true
DroidBench,MethodOverride1.apk,0f21400f-4ffe-4c12-98d0-d43dabc013e6,20.188,32.337,1.18,234.95,178637,77237,4,4.034974260226699,true,true,true,true
DroidBench,LocationLeak3.apk,a1ffc35c-0d62-4eb5-9525-01e0bf6d86f1,40.301,12.246,180.54,376.09,196919,76964,4,4.034974260226699,true,true,true,true
DroidBench,MultiHandlers1.apk,b6398a88-5195-4cd8-90ae-2d3dd9e7dbe0,30.229,22.301,0.69,234.99,199889,71795,4,4.034974260226699,true,true,true,true
DroidBench,Ordering1.apk,35f8d98f-78c1-443a-a61e-270f8762711f,50.316,2.224,0.63,234.97,196813,76963,4,4.034974260226699,true,true,true,true
DroidBench,RegisterGlobal2.apk,31b7c975-4b2f-44ed-9272-bf7c665524fc,10.884,42.413,20.69,244.25,196823,76862,4,4.034974260226699,true,true,true,true
DroidBench,RegisterGlobal1.apk,5144a85d-e67a-4780-95d9-9b484f774b63,20.945,32.35,208.49,387.94,197116,76862,4,4.034974260226699,true,true,true,true
DroidBench,Unregister1.apk,26fc8c55-c96b-446e-8de9-75a13aca233d,30.989,22.32,0.83,242.43,196873,76862,4,4.034974260226699,true,true,true,true
DroidBench,ContentProvider1.apk,3e98bb85-1b82-4c2d-87b6-694a64cd6298,51.077,2.241,0.98,242.47,801487,77137,4,4.034974260226699,true,true,true,true
