dataset,apk,scan_id,expected,detected,detected_findings,category,status,note
DroidBench,Merge1.apk,288fbbf4-c20e-4e16-ba5d-76b13f252944,true,true,4,,completed,
DroidBench,ApplicationModeling1.apk,121260db-3a16-45e8-905e-c7e492fe7b36,true,true,4,,completed,
DroidBench,DirectLeak1.apk,f2d42d2b-57ab-48dd-ab9f-6739e5bb77a4,true,true,4,,completed,
DroidBench,InactiveActivity.apk,98906df2-9685-4d1f-8eb7-275f03073c44,true,true,4,,completed,
DroidBench,Library2.apk,b576b25b-9123-41b8-a99a-b80b37c32ec7,true,true,4,,completed,
DroidBench,LogNoLeak.apk,22f298ec-3818-4de4-8f30-4e13cce1ba15,true,true,4,,completed,
DroidBench,Obfuscation1.apk,28bbd8b0-4103-4aef-823a-8b6aee0ae5eb,true,true,4,,completed,
DroidBench,Parcel1.apk,04d54320-ad7e-458c-ba67-4ba194ecf427,true,true,4,,completed,
DroidBench,PrivateDataLeak1.apk,fd5f4168-4177-4b95-824c-073cd4d0c8b4,true,true,4,,completed,
DroidBench,PrivateDataLeak2.apk,97e60ff7-4965-4226-aae1-14ad7cf600e7,true,true,4,,completed,
DroidBench,PrivateDataLeak3.apk,9c1efeb1-8a93-4f67-b3e9-2d9b86f7d6a2,true,true,4,,completed,
DroidBench,PublicAPIField1.apk,0f227ad0-f4de-4725-b0c3-676079267f65,true,true,4,,completed,
DroidBench,PublicAPIField2.apk,99cf83a7-bf09-4023-a7f8-7d5ed85bb536,true,true,4,,completed,
DroidBench,ArrayAccess1.apk,46b56817-fc68-4729-8481-9f8f64823ffd,true,true,4,,completed,
DroidBench,ArrayAccess2.apk,60129849-be64-4815-a10c-6f00a1817e71,true,true,4,,completed,
DroidBench,ArrayCopy1.apk,b37023bd-a570-45fe-b46c-0125efa738a0,true,true,4,,completed,
DroidBench,ArrayToString1.apk,b5891975-15c9-4cf0-b467-24d60f0dacfa,true,true,3,,completed,
DroidBench,HashMapAccess1.apk,cf3636b9-ca7c-4f4e-af77-9dd91e835cb8,true,true,4,,completed,
DroidBench,ListAccess1.apk,70359b1e-ae00-457c-b877-c72a0655510f,true,true,4,,completed,
DroidBench,MultidimensionalArray1.apk,634ed45c-ebee-4b89-b0bb-2e40014c2066,true,true,4,,completed,
DroidBench,AnonymousClass1.apk,d1361114-6337-4835-92a1-735cc3317b0c,true,true,4,,completed,
DroidBench,Button1.apk,d5d77041-c7dd-4689-af8c-7906489f2407,true,true,4,,completed,
DroidBench,Button2.apk,75ce0475-046c-45e9-8bc4-1d07a87676f1,true,true,4,,completed,
DroidBench,Button3.apk,34019091-d63b-4ae5-a5d2-647bd8340591,true,true,4,,completed,
DroidBench,Button4.apk,ecafc493-45db-4916-b51b-6f983283a3dc,true,true,4,,completed,
