dataset,apk,scan_id,expected,detected,detected_findings,status,note
DroidBench,Merge1.apk,97431b95-d81a-4580-a40b-7e9b2feab2e3,true,true,4,completed,
DroidBench,ApplicationModeling1.apk,cf74bb84-4c3a-45d5-b1ef-c78c7bb305e6,true,true,4,completed,
DroidBench,DirectLeak1.apk,a423791d-a3e7-4352-a05c-8593ce49a3d9,true,true,4,completed,
DroidBench,InactiveActivity.apk,81105a8d-6e3b-419a-9d1f-d36880e8ef7c,true,true,4,completed,
DroidBench,Library2.apk,cfa6f15c-d6af-40bb-ae8b-2cb5d4c2849d,true,true,4,completed,
DroidBench,LogNoLeak.apk,9df68db0-f052-4ead-838b-660b670fc4a2,true,true,4,completed,
DroidBench,Obfuscation1.apk,87d860d0-1063-4f09-b3ad-9f07c1bb33f6,true,true,4,completed,
DroidBench,Parcel1.apk,b71fdd2b-ceae-4ec2-9829-ae11a5f13449,true,true,4,completed,
DroidBench,PrivateDataLeak1.apk,4358433a-1bc3-42f9-b471-d29b5d932047,true,true,4,completed,
DroidBench,PrivateDataLeak2.apk,d8dc2ee1-c301-4501-a90c-56c16c469575,true,true,4,completed,
DroidBench,PrivateDataLeak3.apk,24c185f9-29ad-4aef-adb7-83cc5896cfde,true,true,4,completed,
DroidBench,PublicAPIField1.apk,4d208eb2-723f-4963-90c5-38f204b7fa2d,true,true,4,completed,
DroidBench,PublicAPIField2.apk,ce70279b-7da3-4618-914d-724c0edfbb59,true,true,4,completed,
DroidBench,ArrayAccess1.apk,953d49d0-f751-4a70-bf84-1bdc3149b48c,true,true,4,completed,
DroidBench,ArrayAccess2.apk,41e36c63-2866-4dcc-bb0b-a17c03b1cd03,true,true,4,completed,
DroidBench,ArrayCopy1.apk,a97373ca-4c78-4f8f-8002-8d451a72b36f,true,true,4,completed,
DroidBench,ArrayToString1.apk,381feb5d-7c4e-4931-b76d-84debfea15d7,true,true,3,completed,
DroidBench,HashMapAccess1.apk,6fe34fab-274d-4972-af52-39532ca1cb67,true,true,4,completed,
DroidBench,ListAccess1.apk,0e16268a-0ec1-4053-afa7-f0472ae6b5f2,true,true,4,completed,
DroidBench,MultidimensionalArray1.apk,95b753df-2aea-485c-b36a-2cf63ee1cd7b,true,true,4,completed,
DroidBench,AnonymousClass1.apk,0c05ec7d-2dfe-446a-86b1-118d1d53a08d,true,true,4,completed,
DroidBench,Button1.apk,40caf772-8a15-4f38-8db0-1d3826f0d188,true,true,4,completed,
DroidBench,Button2.apk,586a3bcd-0dee-4db0-b1cd-3bba5d0b27d2,true,true,4,completed,
DroidBench,Button3.apk,1641dd37-c1bf-486b-b900-b5bc05b21375,true,true,4,completed,
DroidBench,Button4.apk,4aef51b0-7333-4873-a4fe-e71b44bb6bac,true,true,4,completed,
DroidBench,Button5.apk,f315a860-111f-4ee5-9212-4fb17dce08a4,true,true,4,completed,
DroidBench,LocationLeak1.apk,f29cd880-e80a-4486-b5d9-f84cb6d1fdbb,true,true,4,completed,
DroidBench,LocationLeak2.apk,22135168-66b7-42b5-9981-6bed0f2cb2e0,true,true,4,completed,
DroidBench,LocationLeak3.apk,f33337bc-8623-4bd2-b479-b491bd9ef4dc,true,true,4,completed,
DroidBench,MethodOverride1.apk,4c1dd824-737d-4bd8-b7f1-58e9ece964cb,true,true,4,completed,
DroidBench,MultiHandlers1.apk,444396ae-1d43-487e-90b8-bfa3488e8a23,true,true,3,completed,
DroidBench,Ordering1.apk,62735d02-00ba-454f-8532-d25011a1454f,true,true,4,completed,
DroidBench,RegisterGlobal1.apk,0d8370d7-93b3-4b3a-958a-c004a623cf97,true,true,4,completed,
DroidBench,RegisterGlobal2.apk,9dbe45d7-3640-4245-80f8-0afe82f6e2d3,true,true,4,completed,
DroidBench,Unregister1.apk,ec324d29-10ee-468b-9e3b-071f1c464d25,true,true,4,completed,
DroidBench,ContentProvider1.apk,9a8c2897-b7f2-4aee-a1cc-6fcf2b2dff69,true,true,4,completed,
DroidBench,IMEI1.apk,c8ea29a9-a44f-4571-ae94-1a937c95b566,true,true,4,completed,
DroidBench,PlayStore1.apk,efed59e2-aa7f-4146-99e2-fc9ce0ecc6b6,true,true,4,completed,
DroidBench,FieldSensitivity1.apk,95c5d271-cc6b-4c7c-a180-b7dffc139c0a,true,true,4,completed,
DroidBench,FieldSensitivity2.apk,c0e3d6ef-82b0-4931-8404-56048306ac23,true,true,4,completed,
DroidBench,FieldSensitivity3.apk,ce5c7251-d822-41be-9f9a-57dff64c8ca6,true,true,4,completed,
DroidBench,FieldSensitivity4.apk,1601bed2-e3dc-43b5-ae4c-a41ca90c23dd,true,true,4,completed,
DroidBench,InheritedObjects1.apk,9770fb23-5c4d-4d06-9bd5-3f245d87898a,true,true,4,completed,
DroidBench,ObjectSensitivity1.apk,20cafb75-720f-4cc4-919e-af03a93225fd,true,true,4,completed,
DroidBench,ObjectSensitivity2.apk,06fae75a-7390-43e8-a893-d338c14439c5,true,true,4,completed,
DroidBench,Clone1.apk,4604a9fc-6f90-402d-86aa-d396b1d884a6,true,true,4,completed,
DroidBench,Exceptions1.apk,865d09e5-68f2-4253-9708-bc9d2ba83e2b,true,true,4,completed,
DroidBench,Exceptions2.apk,dbf47c62-f184-49c8-85b6-adb7087a54d9,true,true,4,completed,
DroidBench,Exceptions3.apk,2846c12a-bc9e-40c7-932d-f04ba18cac6d,true,true,4,completed,
DroidBench,Exceptions4.apk,906581a6-d010-41fe-be9e-8045589d223a,true,true,4,completed,
DroidBench,FactoryMethods1.apk,ce6cddfa-f3c6-4fab-aa66-738571c1eb19,true,true,4,completed,
DroidBench,Loop1.apk,6d2a51d3-4217-4037-b33f-199dee88ba5a,true,true,4,completed,
DroidBench,Loop2.apk,bc81d209-483a-4d4d-a2a0-97da994d7087,true,true,4,completed,
DroidBench,Serialization1.apk,c696103b-02bc-4e9a-9337-ac16d557f574,true,true,4,completed,
DroidBench,SourceCodeSpecific1.apk,5cf3c208-b2b2-47ae-bf66-99f793174fee,true,true,4,completed,
DroidBench,StartProcessWithSecret1.apk,8dccbd47-6d8b-4dd6-8305-25cd79934f34,true,true,4,completed,
