sample_id,project_name,package_name,project_path,apk_path,apk_sha256,fix_category,label_source,label_confidence,label_review_status,template_id,variant_id,ground_truth_rule,inserted_indicators,inserted_locations,primary_issue_count,build_status
controlled-00001,weak_hash_0000,com.mobilesec.controlled.weak_hash0000,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0000,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0000.apk,afd2d0c70b6b7b2cda502a3112e35c7ba332eac3632358b1d6936141a15c522c,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_md5,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""MD5""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00002,weak_hash_0001,com.mobilesec.controlled.weak_hash0001,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0001,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0001.apk,9ea5d8d46f1d0ecc86e97cfd7bf4274a577e128f18e8771c210011852a641f04,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_sha1,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""SHA-1""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00003,weak_hash_0002,com.mobilesec.controlled.weak_hash0002,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0002,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0002.apk,7ed2030ccb26ac7cbe499b1abef1bfed02d7fc5914313e141c191997bc8b10bc,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,checksum_md5_password,Intentional weak hash API usage markers.,"[""DigestUtils.md5Hex"", ""MD5 password hash""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00004,weak_hash_0003,com.mobilesec.controlled.weak_hash0003,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0003,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0003.apk,35e512f4100a64b35393e5ed9a804008aa0073a51942d683af701bb91d28e8f8,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,sha1_certificate_pin,Intentional weak hash API usage markers.,"[""SHA-1 pin"", ""SHA1PRNG""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00005,weak_hash_0004,com.mobilesec.controlled.weak_hash0004,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0004,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0004.apk,cf599b54fcba030a1ae23f64249888a91d0880c5dfddaf1ee0d3866a35675628,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_md5,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""MD5""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00006,weak_hash_0005,com.mobilesec.controlled.weak_hash0005,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0005,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0005.apk,26f71566d94a68672189be1502abf8751817c487247e37536f91174b54c4a98a,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_sha1,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""SHA-1""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00007,weak_hash_0006,com.mobilesec.controlled.weak_hash0006,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0006,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0006.apk,f3c2b5ff3172eae73f914b0b11b3c0cf3b6ee3baac879b8cf92d93384a20e334,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,checksum_md5_password,Intentional weak hash API usage markers.,"[""DigestUtils.md5Hex"", ""MD5 password hash""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00008,weak_hash_0007,com.mobilesec.controlled.weak_hash0007,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0007,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0007.apk,80598e87ecf88e63d09818c62b2e1e5159655860e673e58ef13350a279e925d2,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,sha1_certificate_pin,Intentional weak hash API usage markers.,"[""SHA-1 pin"", ""SHA1PRNG""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00009,weak_hash_0008,com.mobilesec.controlled.weak_hash0008,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0008,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0008.apk,3b301e9042ae61f4c950edab84eee7681cf54ed9a24fcd3d26f02b268b6255d5,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_md5,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""MD5""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00010,weak_hash_0009,com.mobilesec.controlled.weak_hash0009,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0009,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0009.apk,6371039013c1a174df2175391ac3c04f7f352f12ff8cb2e2f1aafd3c3b19f256,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_sha1,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""SHA-1""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00011,weak_hash_0010,com.mobilesec.controlled.weak_hash0010,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0010,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0010.apk,26741d73b1478caf1ab2a8c685d442758326486915b647aef7153251f53cdfe5,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,checksum_md5_password,Intentional weak hash API usage markers.,"[""DigestUtils.md5Hex"", ""MD5 password hash""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00012,weak_hash_0011,com.mobilesec.controlled.weak_hash0011,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0011,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0011.apk,175c3a34919811ebf0eef83c539e7ebd2aab7e4760cb2c30a4d10fe37dc2382b,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,sha1_certificate_pin,Intentional weak hash API usage markers.,"[""SHA-1 pin"", ""SHA1PRNG""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00013,weak_hash_0012,com.mobilesec.controlled.weak_hash0012,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0012,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0012.apk,a2204c52ee7d82c09c46950f0a92d271606c667dfd5d6e6391070acee9646722,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_md5,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""MD5""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00014,weak_hash_0013,com.mobilesec.controlled.weak_hash0013,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0013,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0013.apk,571ac1383d28aaebf427c12f0a5dc822c327ea3b834c384397f825e5f594fe60,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_sha1,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""SHA-1""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00015,weak_hash_0014,com.mobilesec.controlled.weak_hash0014,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0014,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0014.apk,2a70dd64bf992889dbd0788331e7fd02ed26a2116133368e6fdac5ee2769db33,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,checksum_md5_password,Intentional weak hash API usage markers.,"[""DigestUtils.md5Hex"", ""MD5 password hash""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00016,weak_hash_0015,com.mobilesec.controlled.weak_hash0015,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0015,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0015.apk,be48a38b2800fec14be653ca7b836dea2ea14a95a599e93034777d98e4b2bfe6,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,sha1_certificate_pin,Intentional weak hash API usage markers.,"[""SHA-1 pin"", ""SHA1PRNG""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00017,weak_hash_0016,com.mobilesec.controlled.weak_hash0016,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0016,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0016.apk,1b02772263e6264c0dae2d666be6fccc03963e97de26bcc4475d9d040ea86138,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_md5,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""MD5""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00018,weak_hash_0017,com.mobilesec.controlled.weak_hash0017,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0017,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0017.apk,ea9aea0943396ae973a85d95017e6d29274ed95bfb46ca6a6cfd2a43dd10e1a6,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_sha1,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""SHA-1""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00019,weak_hash_0018,com.mobilesec.controlled.weak_hash0018,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0018,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0018.apk,e375ea80c025cea3ad87f8532f69a4b32e08c0880d889303d1bbde1b9da0a5b8,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,checksum_md5_password,Intentional weak hash API usage markers.,"[""DigestUtils.md5Hex"", ""MD5 password hash""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00020,weak_hash_0019,com.mobilesec.controlled.weak_hash0019,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0019,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0019.apk,0d85213a7ca2476d3e6e51442a4ab8a473fc33292f0d6b47e83ce63674bb3692,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,sha1_certificate_pin,Intentional weak hash API usage markers.,"[""SHA-1 pin"", ""SHA1PRNG""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00021,weak_hash_0020,com.mobilesec.controlled.weak_hash0020,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0020,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0020.apk,41d09ed5730287d4df876f16b74770012ea166b171ee78d0998e159b0cfd5a62,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_md5,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""MD5""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00022,weak_hash_0021,com.mobilesec.controlled.weak_hash0021,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0021,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0021.apk,2039607b2f563921e8bd7d246139bf2cbde34da3068bad13caf64163ffde1d02,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_sha1,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""SHA-1""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00023,weak_hash_0022,com.mobilesec.controlled.weak_hash0022,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0022,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0022.apk,d858cb7bd02ef63c8661ad216593f305989657df759cad9907b7667295f4b5b9,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,checksum_md5_password,Intentional weak hash API usage markers.,"[""DigestUtils.md5Hex"", ""MD5 password hash""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00024,weak_hash_0023,com.mobilesec.controlled.weak_hash0023,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0023,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0023.apk,79f8c26d803f5b8d1834543346a9504ae2274dbbf4c3db547a4f041c2e974eb3,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,sha1_certificate_pin,Intentional weak hash API usage markers.,"[""SHA-1 pin"", ""SHA1PRNG""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00025,weak_hash_0024,com.mobilesec.controlled.weak_hash0024,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0024,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0024.apk,337f20af0f8fa67bbe8b4454c15af0d56662f4070f5af1508035834d74e45c24,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_md5,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""MD5""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00026,weak_hash_0025,com.mobilesec.controlled.weak_hash0025,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0025,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0025.apk,3e17c82b556d0ce5a0cae5b3c2fc8e78712c6151b7f7cecded98a2b8f18c8fa2,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_sha1,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""SHA-1""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00027,weak_hash_0026,com.mobilesec.controlled.weak_hash0026,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0026,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0026.apk,88325c2e4fd9f6e8c9008d60d81e5e0620117bb21304c2cfcb286ecc9f655ced,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,checksum_md5_password,Intentional weak hash API usage markers.,"[""DigestUtils.md5Hex"", ""MD5 password hash""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00028,weak_hash_0027,com.mobilesec.controlled.weak_hash0027,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0027,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0027.apk,415c60a7675c89365c58208e8828baa3d95d070b3d9f36a152276607a584abe7,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,sha1_certificate_pin,Intentional weak hash API usage markers.,"[""SHA-1 pin"", ""SHA1PRNG""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
controlled-00029,weak_hash_0028,com.mobilesec.controlled.weak_hash0028,/tmp/controlled_apktool_dataset_v2/projects/weak_hash_0028,/tmp/controlled_apktool_dataset_v2/apks/weak_hash_0028.apk,ee4f0c667e682ea9bff49fa044ad2c523f302af4c08d566be83db77c9da60c19,FIX_WEAK_HASH,controlled_apktool_template,1.0,accepted,weak_hash,message_digest_md5,Intentional weak hash API usage markers.,"[""MessageDigest.getInstance"", ""MD5""]",AndroidManifest.xml; smali/com/mobilesec/controlled/MainActivity.smali,1,built
