dataset,apk,scan_id,expected,detected,detected_findings,category,status,note
DroidBench,Merge1.apk,9d6ded9e-234d-4054-974d-4d8576a39837,true,true,4,,completed,
DroidBench,ApplicationModeling1.apk,1c3aa895-ff1b-4bd5-acca-e403b9844f58,true,true,4,,completed,
DroidBench,DirectLeak1.apk,d7b987ac-86e9-483b-ada5-62b215997838,true,true,4,,completed,
DroidBench,InactiveActivity.apk,6d03d165-39e5-4f4a-80b4-4f9684ae9784,true,true,4,,completed,
DroidBench,Library2.apk,b8086236-0629-43a5-adf9-72584fd9999b,true,true,4,,completed,
DroidBench,LogNoLeak.apk,4b60054e-1a6c-406c-9fc0-e2d1477030ee,true,true,4,,completed,
DroidBench,Obfuscation1.apk,d0acd7f4-066f-4262-a550-d1fb533bc101,true,true,4,,completed,
DroidBench,Parcel1.apk,f603c74d-2330-49a5-be6e-579b3961f721,true,true,4,,completed,
DroidBench,PrivateDataLeak1.apk,b32a0c99-219e-4ecb-9531-3e8e84f37cc3,true,true,4,,completed,
DroidBench,PrivateDataLeak2.apk,210d924a-d0b7-4c83-afff-9682d338a96a,true,true,4,,completed,
DroidBench,PrivateDataLeak3.apk,743b3dd2-bba7-4058-81b6-0065661d562c,true,true,4,,completed,
DroidBench,PublicAPIField1.apk,7e703aec-87fa-4b1a-a276-f415016f3978,true,true,4,,completed,
DroidBench,PublicAPIField2.apk,134f1853-2c0a-4ae3-b56d-1df01068ad65,true,true,4,,completed,
DroidBench,ArrayAccess1.apk,79208942-e533-4824-95b6-6a62daaf7d99,true,true,4,,completed,
DroidBench,ArrayAccess2.apk,d45c61a4-54d9-4160-be64-ac6aa89ab216,true,true,4,,completed,
DroidBench,ArrayCopy1.apk,56a8b7d6-f77d-4e03-a175-ceebbd50ff1b,true,true,4,,completed,
DroidBench,ArrayToString1.apk,7d5f6eef-e352-49f2-bc98-b733186616b2,true,true,3,,completed,
DroidBench,HashMapAccess1.apk,134be502-cc56-4976-9a13-5b915959faff,true,true,4,,completed,
DroidBench,ListAccess1.apk,9049bd86-ff5d-4ec9-ab2e-c882dd743561,true,true,4,,completed,
DroidBench,MultidimensionalArray1.apk,27de5354-6381-457b-a165-dcb929a3e63f,true,true,4,,completed,
DroidBench,AnonymousClass1.apk,db9598b8-cc20-4f0a-9a53-0c3d3fe62db7,true,true,4,,completed,
DroidBench,Button1.apk,9bf61d02-c1f2-4094-8f0b-236a1fe0fce2,true,true,4,,completed,
DroidBench,Button2.apk,7ed8da49-36a0-48a2-887d-3d7d4c848107,true,true,4,,completed,
DroidBench,Button3.apk,3c25c680-30cc-4be1-8fc5-22ea23b86c06,true,true,4,,completed,
DroidBench,Button4.apk,efa14725-7623-47c4-ba4f-01c66195b6d8,true,true,4,,completed,
DroidBench,Button5.apk,4716a777-14f4-46fd-9ebe-9c542c44b1d1,true,true,4,,completed,
DroidBench,LocationLeak1.apk,d0c5b597-e5d6-4b43-924c-5598a3d0fecc,true,true,4,,completed,
DroidBench,LocationLeak2.apk,99e6aa11-b81f-4d0b-84c2-770cd315893a,true,true,4,,completed,
DroidBench,LocationLeak3.apk,c3bf53ab-9249-4927-92cb-adec42376250,true,true,4,,completed,
DroidBench,MethodOverride1.apk,1d6a80bc-3528-4cfa-81bc-132e2ba837ac,true,true,4,,completed,
DroidBench,MultiHandlers1.apk,babc552d-9444-4a50-802f-96dd09e9a37a,true,true,3,,completed,
DroidBench,Ordering1.apk,4a475af3-dc46-4f7b-9b59-bfc8ac2d2eab,true,true,4,,completed,
DroidBench,RegisterGlobal1.apk,7e2fd332-2007-483b-97b7-ebf6a7925214,true,true,4,,completed,
DroidBench,RegisterGlobal2.apk,fafae27c-5385-45b1-adbb-6d1a65824e4d,true,true,4,,completed,
DroidBench,Unregister1.apk,81824268-e0ee-4f7b-9dcd-f53d1896c5ff,true,true,4,,completed,
DroidBench,ContentProvider1.apk,b3e1c78c-071f-4cd9-8f94-d64e76f9b288,true,true,4,,completed,
DroidBench,IMEI1.apk,4dd1825f-5e9b-486a-9b73-339f72e35cf5,true,true,4,,completed,
DroidBench,PlayStore1.apk,2170e189-cece-41a9-b23c-4a38e521c75c,true,true,4,,completed,
DroidBench,FieldSensitivity1.apk,3de0ccb2-981d-4790-8d6b-e225dc47bd3e,true,true,4,,completed,
DroidBench,FieldSensitivity2.apk,b3b9b43e-6b34-4533-851a-97fb508f586f,true,true,4,,completed,
DroidBench,FieldSensitivity3.apk,81dd4ff7-f1fb-4198-af27-510ce04e8260,true,true,4,,completed,
DroidBench,FieldSensitivity4.apk,f75b140b-b0a3-4b2c-9078-518a76aae1a8,true,true,4,,completed,
DroidBench,InheritedObjects1.apk,159e80ce-9566-4983-be47-31dd3a98f155,true,true,4,,completed,
DroidBench,ObjectSensitivity1.apk,ec6b212d-6c92-44cc-8619-3fd7a60b9b30,true,true,4,,completed,
